id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
17229,2024-05-24 07:58:31,5.7,3.0,4.2,1.2,1
17228,2024-05-24 07:58:30,6.4,2.9,4.3,1.3,1
17227,2024-05-24 07:58:29,6.7,3.0,5.0,1.7,1
17226,2024-05-24 07:58:28,6.4,2.7,5.3,1.9,2
17225,2024-05-24 07:58:27,4.3,3.0,1.1,0.1,0
17224,2024-05-24 07:58:25,5.4,3.7,1.5,0.2,0
17223,2024-05-24 07:58:24,4.9,2.4,3.3,1.0,1
17222,2024-05-24 07:58:23,5.9,3.0,5.1,1.8,2
17221,2024-05-24 07:58:22,7.1,3.0,5.9,2.1,2
17220,2024-05-24 07:58:21,5.7,3.8,1.7,0.3,0
17219,2024-05-24 07:58:20,6.0,3.4,4.5,1.6,1
17218,2024-05-24 07:58:19,6.3,2.9,5.6,1.8,2
17217,2024-05-24 07:58:18,6.2,2.8,4.8,1.8,2
17216,2024-05-24 07:58:17,5.7,2.9,4.2,1.3,1
17215,2024-05-24 07:58:16,6.4,2.8,5.6,2.1,2
17214,2024-05-24 07:58:15,7.1,3.0,5.9,2.1,2
17213,2024-05-24 07:58:14,6.5,3.0,5.8,2.2,2
17212,2024-05-24 07:58:13,6.1,3.0,4.9,1.8,2
17211,2024-05-24 07:58:12,5.5,2.4,3.8,1.1,1
17210,2024-05-24 07:58:11,6.4,3.1,5.5,1.8,2
17209,2024-05-24 07:58:10,5.0,2.3,3.3,1.0,1
17208,2024-05-24 07:58:09,5.0,3.4,1.6,0.4,0
17207,2024-05-24 07:58:08,5.0,3.6,1.4,0.2,0
17206,2024-05-24 07:58:07,7.7,3.8,6.7,2.2,2
17205,2024-05-24 07:58:06,7.7,3.8,6.7,2.2,2
17204,2024-05-24 07:58:05,6.9,3.1,5.1,2.3,2
17203,2024-05-24 07:58:04,6.5,3.0,5.5,1.8,2
17202,2024-05-24 07:58:03,7.6,3.0,6.6,2.1,2
17201,2024-05-24 07:58:02,6.2,2.8,4.8,1.8,2
17200,2024-05-24 07:58:01,6.7,3.1,4.7,1.5,1
17199,2024-05-24 07:58:00,5.9,3.0,5.1,1.8,2
17198,2024-05-24 07:57:59,6.1,2.9,4.7,1.4,1
17197,2024-05-24 07:57:58,5.4,3.4,1.7,0.2,0
17196,2024-05-24 07:57:57,6.2,2.9,4.3,1.3,1
17195,2024-05-24 07:57:56,6.0,2.7,5.1,1.6,1
17194,2024-05-24 07:57:55,6.3,2.8,5.1,1.5,2
17193,2024-05-24 07:57:54,5.9,3.2,4.8,1.8,1
17192,2024-05-24 07:57:53,6.3,2.8,5.1,1.5,2
17191,2024-05-24 07:57:52,5.0,3.4,1.5,0.2,0
17190,2024-05-24 07:57:51,6.8,3.2,5.9,2.3,2
17189,2024-05-24 07:57:50,4.3,3.0,1.1,0.1,0
17188,2024-05-24 07:57:49,5.6,3.0,4.1,1.3,1
17187,2024-05-24 07:57:48,4.9,2.4,3.3,1.0,1
17186,2024-05-24 07:57:47,6.1,2.8,4.0,1.3,1
17185,2024-05-24 07:57:46,5.5,3.5,1.3,0.2,0
17184,2024-05-24 07:57:45,6.6,3.0,4.4,1.4,1
17183,2024-05-24 07:57:44,5.7,2.8,4.5,1.3,1
17182,2024-05-24 07:57:43,5.1,3.8,1.5,0.3,0
17181,2024-05-24 07:57:42,4.6,3.6,1.0,0.2,0
17180,2024-05-24 07:57:41,5.9,3.0,4.2,1.5,1
17179,2024-05-24 07:57:40,6.3,2.5,4.9,1.5,1
17178,2024-05-24 07:57:39,5.6,2.5,3.9,1.1,1
17177,2024-05-24 07:57:38,4.8,3.4,1.9,0.2,0
17176,2024-05-24 07:57:37,5.6,2.8,4.9,2.0,2
17175,2024-05-24 07:57:36,5.6,2.8,4.9,2.0,2
17174,2024-05-24 07:57:35,5.8,2.7,3.9,1.2,1
17173,2024-05-24 07:57:34,6.4,3.1,5.5,1.8,2
17172,2024-05-24 07:57:33,4.7,3.2,1.6,0.2,0
17171,2024-05-24 07:57:32,5.8,2.7,4.1,1.0,1
17170,2024-05-24 07:57:31,7.2,3.6,6.1,2.5,2
17169,2024-05-24 07:57:30,5.8,2.8,5.1,2.4,2
17168,2024-05-24 07:57:29,5.6,2.7,4.2,1.3,1
17167,2024-05-24 07:57:28,5.1,3.5,1.4,0.2,0
17166,2024-05-24 07:57:27,6.8,3.2,5.9,2.3,2
17165,2024-05-24 07:57:26,4.9,3.1,1.5,0.1,0
17164,2024-05-24 07:57:25,4.6,3.1,1.5,0.2,0
17163,2024-05-24 07:57:24,4.9,2.5,4.5,1.7,2
17162,2024-05-24 07:57:23,5.0,2.0,3.5,1.0,1
17161,2024-05-24 07:57:22,5.2,3.5,1.5,0.2,0
17160,2024-05-24 07:57:21,6.7,3.1,4.7,1.5,1
17159,2024-05-24 07:57:20,5.4,3.4,1.5,0.4,0
17158,2024-05-24 07:57:19,6.7,3.0,5.0,1.7,1
17157,2024-05-24 07:57:18,6.0,3.0,4.8,1.8,2
17156,2024-05-24 07:57:17,5.0,3.4,1.5,0.2,0
17155,2024-05-24 07:57:16,4.9,3.1,1.5,0.2,0
17154,2024-05-24 07:57:15,7.6,3.0,6.6,2.1,2
17153,2024-05-24 07:57:14,7.2,3.6,6.1,2.5,2
17152,2024-05-24 07:57:13,4.6,3.6,1.0,0.2,0
17151,2024-05-24 07:57:12,6.4,3.2,4.5,1.5,1
17150,2024-05-24 07:57:11,4.3,3.0,1.1,0.1,0
17149,2024-05-24 07:57:10,4.7,3.2,1.6,0.2,0
17148,2024-05-24 07:57:09,4.8,3.0,1.4,0.3,0
17147,2024-05-24 07:57:08,5.4,3.4,1.5,0.4,0
17146,2024-05-24 07:57:07,5.0,3.2,1.2,0.2,0
17145,2024-05-24 07:57:06,4.4,3.2,1.3,0.2,0
17144,2024-05-24 07:57:05,5.8,2.8,5.1,2.4,2
17143,2024-05-24 07:57:04,4.9,3.0,1.4,0.2,0
17142,2024-05-24 07:57:03,4.4,3.0,1.3,0.2,0
17141,2024-05-24 07:57:02,6.1,2.8,4.0,1.3,1
17140,2024-05-24 07:57:01,4.9,3.0,1.4,0.2,0
17139,2024-05-24 07:57:00,6.7,3.3,5.7,2.5,2
17138,2024-05-24 07:56:59,5.6,2.7,4.2,1.3,1
17137,2024-05-24 07:56:58,6.0,2.7,5.1,1.6,1
17136,2024-05-24 07:56:57,5.7,4.4,1.5,0.4,0
17135,2024-05-24 07:56:56,6.7,3.1,5.6,2.4,2
17134,2024-05-24 07:56:55,5.7,2.9,4.2,1.3,1
17133,2024-05-24 07:56:53,6.3,2.3,4.4,1.3,1
17132,2024-05-24 07:56:52,5.0,3.3,1.4,0.2,0
17131,2024-05-24 07:56:51,5.8,4.0,1.2,0.2,0
17130,2024-05-24 07:56:50,5.0,3.3,1.4,0.2,0
